_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf71993,1117,1117,2014,Provoked,USA,Florida,Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT
6696ff4dc10ca7acadf71994,1118,1118,2014,Unprovoked,SPAIN,Catalonia,Playing with an air mattress,M,16,Lacerations to right hand
6696ff4dc10ca7acadf71995,1119,1119,2014,Unprovoked,USA,Florida,Body surfing,F,13,Injury to left calf
6696ff4dc10ca7acadf71996,1120,1120,2014,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to shin
6696ff4dc10ca7acadf71997,1121,1121,2014,Invalid,USA,Florida,NaN,NaN,NaN,Shark involvement not confirmed
6696ff4dc10ca7acadf71998,1122,1122,2014,Provoked,USA,Maryland,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT
6696ff4dc10ca7acadf71999,1123,1123,2014,Unprovoked,SPAIN,Alicante,Swimming,F,30s,Minor lacerations to posterior lower leg
6696ff4dc10ca7acadf7199a,1124,1124,2014,Unprovoked,USA,North Carolina,Surfing,M,29,Laceration to left hand
6696ff4dc10ca7acadf7199b,1125,1125,2014,Unprovoked,USA,South Carolina,Standing,F,NaN,Heel bitten
6696ff4dc10ca7acadf7199c,1126,1126,2014,Provoked,USA,Florida,Fishing for sharks,M,NaN,Lacerations to forearm from hooked shark PROVOKED INCIDENT
6696ff4dc10ca7acadf7199d,1127,1127,2014,Unprovoked,USA,North Carolina,Kite boarding,NaN,NaN,Laceration to left foot
6696ff4dc10ca7acadf7199e,1128,1128,2014,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,31,Lacerations to face and neck
6696ff4dc10ca7acadf7199f,1129,1129,2014,Unprovoked,USA,Florida,Standing,M,NaN,Puncture wounds and lacerations to left thigh and knee
6696ff4dc10ca7acadf719a0,1130,1130,2014,Unprovoked,USA,Florida,NaN,M,26,Puncture wounds & lacerations to foot
6696ff4dc10ca7acadf719a1,1131,1131,2014,Unprovoked,BAHAMAS,NaN,Spearfishing,M,NaN,Puncture wounds to right foot and ankle
6696ff4dc10ca7acadf719a2,1132,1132,2014,Unprovoked,USA,Florida,Swimming,F,10,Puncture wounds to right foot & ankle
6696ff4dc10ca7acadf719a3,1133,1133,2014,Unprovoked,USA,Louisiana,Swimming,M,7,Minor lacerations to left heel and big toe
6696ff4dc10ca7acadf719a4,1134,1134,2014,Unprovoked,USA,South Carolina,Boogie boarding,M,10,Lacerations to right leg & foot
6696ff4dc10ca7acadf719a5,1135,1135,2014,Unprovoked,USA,Florida,Swimming,F,45,Lacerations to  foot
